 Reflection Date;Reflection;Question 1;Rating 1;Question 2;Rating 2;Question 3;Rating 3;Today Question;Rating_today;Tomorrow Question;Rating_tomorrow ;Attendies 
Apr. 19 2013;Great session with Maggie. Made progress with material. Looking forward to rugby tomorrow. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Apr. 19 2013;They got the bombers. Nice. Hope justice will be served. Swiftly. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Dec. 31 1969;Ongeluk. Rugby was goed en lekker maar bietjie baie son. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Apr. 21 2013;Meeting at Lattice and prep for Cisco.  Dinner at Elly's.;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;3;N/A
Apr. 27 2013;Heading to baby shower in a bit. Will be good to see folks. 

Tomorrow will be a good day for getting stuff done. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Apr. 26 2013;Simone is getting her DL. Work with new name. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Apr. 21 2013;Lattice meeting went ok. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
Apr. 23 2013;Test ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;1;N/A
Apr. 23 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
Apr. 25 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Apr. 26 2013;Simone is getting her DL. Work with new name. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;2;N/A
Apr. 28 2013;AWS kata was interesting... But not as interactive as hoped. 
Need to figure out tomorrow. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;1;How do you feel about tomorrow?;2;N/A
Apr. 29 2013;At AWS. Better today. Need to get some stuff done today. Also need to figure out if I can go to the a16z session on Thursday. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
May. 02 2013;Heading to reunion. With Simone. Presenting Vimbli. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 04 2013;Happy to be done with reunion. Happy to be able to have attended reunion. 
With Simone. ;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;3;How do you feel about tomorrow?;2;N/A
May. 06 2013;N/A;How did you use your time today?;3;How well did you care of the people in your life today?;3;Have you created (and used!) opportunities to ask for help or support today?;3;How do you feel about today?;2;How do you feel about tomorrow?;3;N/A
